ID,CATEGORY_ICD10,NMU_CODE,DESCRIPTION,NMU_TYPE,DATE,BASIC_ADDITIONAL,SECTION,FLC_REMD
720,K50-K52,A03.18.001,Колоноскопия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A03.18.001 Колоноскопия
721,K50-K52,A09.19.013,Исследование уровня кальпротектина в кале,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A09.19.013 Исследование уровня кальпротектина в кале
722,K50-K52,B03.016.010,Копрологическое исследование,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.010 Копрологическое исследование
723,K55-K64,A09.19.010,Определение активности панкреатической эластазы-1 в кале при необходимости оценки экзокринной функции поджелудочной железы,Лабораторное исследование,"Действительно 120 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",2,1,A09.19.010 Определение активности панкреатической эластазы-1 в кале при необходимости оценки экзокринной функции поджелудочной железы
724,K65-K67,B01.057.001,"Прием (осмотр, консультация) врача-хирурга первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.057.001 Прием (осмотр, консультация) врача-хирурга первичный"
725,K70-K77,A03.16.001,Эзофагогастродуоденоскопия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A03.16.001 Эзофагогастродуоденоскопия
726,K70-K77,B03.016.010,Копрологическое исследование,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.010 Копрологическое исследование
727,K70-K77,A04.14.001.005,Эластометрия печени при необходимости уточнения стадии фиброза печени,Инструментальное обследование,"Действительно 1 год при первичном направлении, 1 год при повторном направлении",2,1,A04.14.001.005 Эластометрия печени при необходимости уточнения стадии фиброза печени
728,K70-K77,B03.005.006,Коагулограмма (ориентировочное исследование системы гемостаза),Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.005.006 Коагулограмма (ориентировочное исследование системы гемостаза)
729,K80-K87,B03.016.010,Копрологическое исследование,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.010 Копрологическое исследование
730,K80-K87,A09.19.010,Определение активности панкреатической эластазы-1 в кале,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.19.010 Определение активности панкреатической эластазы-1 в кале
731,K80-K87,A03.16.001,Эзофагогастродуоденоскопия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A03.16.001 Эзофагогастродуоденоскопия
741,L23,B01.033.001,"Прием (осмотр, консультация) врача-профпатолога первичный при профессиональном генезе",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.033.001 Прием (осмотр, консультация) врача-профпатолога первичный при профессиональном генезе"
742,L40-L45,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
744,L80-L99,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
745,L94,A04.01.002,Ультразвуковое исследование кожи (одна анатомическая зона),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",2,1,A04.01.002 Ультразвуковое исследование кожи (одна анатомическая зона)
746,L94,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный при системном процессе",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный при системном процессе"
748,Q80,A06.03.041,Рентгенография таза при диффузном гиперостозе,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",2,1,A06.03.041 Рентгенография таза при диффузном гиперостозе
749,Q81,B01.001.001,"Прием (осмотр, консультация) врача-акушера-гинеколога первичный при наличии пороков развития мочеполовой системы, стриктур и стеноза влагалища",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,"B01.001.001 Прием (осмотр, консультация) врача-акушера-гинеколога первичный при наличии пороков развития мочеполовой системы, стриктур и стеноза влагалища"
751,M00-M99,B03.016.003,Общий (клинический) анализ крови развернутый,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.003 Общий (клинический) анализ крови развернутый
752,M00-M99,B03.016.004,Анализ крови биохимический общетерапевтический,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.004 Анализ крови биохимический общетерапевтический
753,M00-M99,B03.016.006,Общий (клинический) анализ мочи,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.006 Общий (клинический) анализ мочи
755,M00-M99,A02.03.005,Измерение роста,Инструментальное обследование,Действительно 1 год,1,1,A02.03.005 Измерение роста
756,M00-M99,A02.01.001,Измерение массы тела,Инструментальное обследование,Действительно 120 календарных дней,1,1,A02.01.001 Измерение массы тела
757,M05; M06,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный с указанием индексов активности (DAS28, SDAI, CDAI) и функционального состояния (HAQ)",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный с указанием индексов активности (DAS28, SDAI, CDAI) и функционального состояния (HAQ)"
758,M05; M06,A12.06.052,Определение содержания антител к циклическому цитрулиновому пептиду (антиCCP) в крови,Лабораторное исследование,Действительно бессрочно,1,1,A12.06.052 Определение содержания антител к циклическому цитрулиновому пептиду (антиCCP) в крови
759,M05; M06,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
760,M07; L40.5,B01.008.001,"Прием (осмотр, консультация) врача-дерматовенеролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.008.001 Прием (осмотр, консультация) врача-дерматовенеролога первичный"
761,M07; L40.5,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
762,M07; L40.5,A06.03.032,Рентгенография кисти при поражении кисти,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",2,1,A06.03.032 Рентгенография кисти при поражении кисти
763,M10,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный"
764,M10,A09.05.018,Исследование уровня мочевой кислоты в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.018 Исследование уровня мочевой кислоты в крови
765,M10,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
766,M10,A06.03.051,Рентгенография плюсны и фаланг пальцев стопы,Инструментальное обследование,Действительно 1 год,1,1,A06.03.051 Рентгенография плюсны и фаланг пальцев стопы
767,M15-M19,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный",Осмотр/консультация,Действительно 90 календарных дней,1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный"
768,M30-M36,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный"
769,M30-M36,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
770,M30-M36,A09.05.032,Исследование уровня общего кальция в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.032 Исследование уровня общего кальция в крови
772,M32,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный (с указанием индексов активности и повреждения (SLEDAI 2K, SLICC/DI)",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный (с указанием индексов активности и повреждения (SLEDAI 2K, SLICC/DI)"
773,M32,A09.05.011,Исследование уровня альбумина в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A09.05.011 Исследование уровня альбумина в крови
774,M33,A09.05.043,Определение активности креатинкиназы в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.043 Определение активности креатинкиназы в крови
775,M33,A09.05.039,Определение активности лактатдегидрогеназы в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.039 Определение активности лактатдегидрогеназы в крови
776,M34,A09.05.044,Определение активности гамма-глютамилтрансферазы в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.044 Определение активности гамма-глютамилтрансферазы в крови
777,M34,A09.05.046,Определение активности щелочной фосфатазы в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.046 Определение активности щелочной фосфатазы в крови
778,M34,A09.05.043,Определение активности креатинкиназы в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.043 Определение активности креатинкиназы в крови
779,M35.0,A12.06.019,Определение содержания ревматоидного фактора в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A12.06.019 Определение содержания ревматоидного фактора в крови
780,M35.0,B01.029.001,"Прием (осмотр, консультация) врача-офтальмолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.029.001 Прием (осмотр, консультация) врача-офтальмолога первичный"
781,M35.0,A02.26.020,Проведение теста Ширмера,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A02.26.020 Проведение теста Ширмера
782,M35.0,A11.07.020,Биопсия слюнной железы,Лабораторное исследование,Действительно бессрочно,1,1,A11.07.020 Биопсия слюнной железы
783,M35.0,A06.07.005,Контрастная рентгенография протоков слюнных желез (сиалография) при необходимости оценки тяжести поражения,Инструментальное обследование,Действительно бессрочно,1,1,A06.07.005 Контрастная рентгенография протоков слюнных желез (сиалография) при необходимости оценки тяжести поражения
784,M40-M43,B01.023.001,"Прием (осмотр, консультация) врача-невролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.023.001 Прием (осмотр, консультация) врача-невролога первичный"
785,M40-M43,B01.024.001,"Прием (осмотр, консультация) врача-нейрохирурга первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.024.001 Прием (осмотр, консультация) врача-нейрохирурга первичный"
786,M45-M49,A06.03.018,"Рентгенография позвоночника, специальные исследования и проекции",Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении, 2 года для пациентов с анкилозирующим спондилитом",1,1,"A06.03.018 Рентгенография позвоночника, специальные исследования и проекции"
787,M45-M49,B01.040.001,"Прием (осмотр, консультация) врача-ревматолога первичный для пациентов с анкилозирующим спондилитом (с указанием индексов активности (BASDAI и (или) ASDAScp6); функционального состояния (BASFI, BASMI); подсчета пораженных энтезисов (MASES)",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.040.001 Прием (осмотр, консультация) врача-ревматолога первичный для пациентов с анкилозирующим спондилитом (с указанием индексов активности (BASDAI и (или) ASDAScp6); функционального состояния (BASFI, BASMI); подсчета пораженных энтезисов (MASES)"
788,M45-M49,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
789,M45-M49,A06.03.041,Рентгенография таза,Инструментальное обследование,Действительно 2 года,1,1,A06.03.041 Рентгенография таза
790,M80-M85,B01.023.001,"Прием (осмотр, консультация) врача-невролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.023.001 Прием (осмотр, консультация) врача-невролога первичный"
791,M80-M85,B01.058.001,"Прием (осмотр, консультация) врача-эндокринолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.058.001 Прием (осмотр, консультация) врача-эндокринолога первичный"
792,M80-M85,B01.057.001,"Прием (осмотр, консультация) врача-хирурга первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.057.001 Прием (осмотр, консультация) врача-хирурга первичный"
793,M80-M85,A06.03.061,Рентгеноденситометрия,Инструментальное обследование,Действительно 1 год,1,1,A06.03.061 Рентгеноденситометрия
794,M80-M85,A09.05.032,Исследование уровня общего кальция в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.032 Исследование уровня общего кальция в крови
796,M86,B01.057.001,"Прием (осмотр, консультация) врача-хирурга первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.057.001 Прием (осмотр, консультация) врача-хирурга первичный"
797,M86,A09.05.009,Исследование уровня C-реактивного белка в сыворотке крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.009 Исследование уровня C-реактивного белка в сыворотке крови
798,Q65-Q79,A04.10.002,Эхокардиография при поражении сердца и аорты в рамках основного заболевания,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",2,1,A04.10.002 Эхокардиография при поражении сердца и аорты в рамках основного заболевания
799,N00-N99,B01.025.001,"Прием (осмотр, консультация) врача-нефролога первичный с расчетом СКФ по формуле CKD-EPI",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.025.001 Прием (осмотр, консультация) врача-нефролога первичный с расчетом СКФ по формуле CKD-EPI"
800,N00-N99,B01.053.001,"Прием (осмотр, консультация) врача-уролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.053.001 Прием (осмотр, консультация) врача-уролога первичный"
801,N00-N99,B03.016.003,Общий (клинический) анализ крови развернутый,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.003 Общий (клинический) анализ крови развернутый
802,N00-N99,B03.016.004,Анализ крови биохимический общетерапевтический,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.004 Анализ крови биохимический общетерапевтический
803,N00-N99,B03.016.006,Общий (клинический) анализ мочи,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.006 Общий (клинический) анализ мочи
805,N00-N99,A04.28.002,Ультразвуковое исследование мочевыводящих путей,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.28.002 Ультразвуковое исследование мочевыводящих путей
806,N00-N99,A05.10.006,Регистрация электрокардиограммы,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A05.10.006 Регистрация электрокардиограммы
807,N00-N99,A05.10.004,"Расшифровка, описание и интерпретация электрокардиографических данных",Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"A05.10.004 Расшифровка, описание и интерпретация электрокардиографических данных"
808,N00-N99,A02.03.005,Измерение роста,Инструментальное обследование,Действительно 1 год,1,1,A02.03.005 Измерение роста
809,N00-N99,A02.01.001,Измерение массы тела,Инструментальное обследование,Действительно 120 календарных дней,1,1,A02.01.001 Измерение массы тела
810,N17-N19,A09.05.011,Исследование уровня альбумина в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.011 Исследование уровня альбумина в крови
811,N17-N19,A09.05.030,Исследование уровня натрия в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.030 Исследование уровня натрия в крови
812,N17-N19,A09.05.031,Исследование уровня калия в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.031 Исследование уровня калия в крови
813,N17-N19,A09.05.032,Исследование уровня общего кальция в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.032 Исследование уровня общего кальция в крови
814,N17-N19,A09.05.033,Исследование уровня неорганического фосфора в крови,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A09.05.033 Исследование уровня неорганического фосфора в крови
815,N17-N19,A04.28.002.001,Ультразвуковое исследование почек,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.28.002.001 Ультразвуковое исследование почек
816,N30-N39,A04.28.002.005,Ультразвуковое исследование мочевого пузыря с определением остаточной мочи,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A04.28.002.005 Ультразвуковое исследование мочевого пузыря с определением остаточной мочи
817,T90-T98,A05.10.004,"Расшифровка, описание и интерпретация электрокардиографических данных",Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"A05.10.004 Расшифровка, описание и интерпретация электрокардиографических данных"
818,T90-T98,A02.03.005,Измерение роста,Инструментальное обследование,Действительно 1 год,1,1,A02.03.005 Измерение роста
819,T90-T98,A02.01.001,Измерение массы тела,Инструментальное обследование,Действительно 120 календарных дней,1,1,A02.01.001 Измерение массы тела
820,T91,A06.03.057,Рентгенография пораженной части костного скелета,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A06.03.057 Рентгенография пораженной части костного скелета
821,T91,B01.050.001,"Прием (осмотр, консультация) врача-травматолога-ортопеда первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.050.001 Прием (осмотр, консультация) врача-травматолога-ортопеда первичный"
822,T91,B01.023.001,"Прием (осмотр, консультация) врача-невролога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.023.001 Прием (осмотр, консультация) врача-невролога первичный"
823,T91,B01.024.001,"Прием (осмотр, консультация) врача-нейрохирурга первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.024.001 Прием (осмотр, консультация) врача-нейрохирурга первичный"
824,T90,A05.02.001.003,Электронейромиография стимуляционная одного нерва при наличии нарушений сократительной способности мышц и функциональных и органических поражений периферической нервной системы,Инструментальное обследование,Действительно 1 год,2,1,A05.02.001.003 Электронейромиография стимуляционная одного нерва при наличии нарушений сократительной способности мышц и функциональных и органических поражений периферической нервной системы
825,T90,A05.23.001,ЭЭГ при наличии пароксизмальных состояний,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,A05.23.001 ЭЭГ при наличии пароксизмальных состояний
826,T90,B01.024.001,"Прием (осмотр, консультация) врача-нейрохирурга первичный при поражении центральной нервной системы",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,"B01.024.001 Прием (осмотр, консультация) врача-нейрохирурга первичный при поражении центральной нервной системы"
827,T90,A13.23.002,Медико-логопедическое исследование при афазии при наличии речевых расстройств по направлению врача-невролога или врача-психиатра,Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,A13.23.002 Медико-логопедическое исследование при афазии при наличии речевых расстройств по направлению врача-невролога или врача-психиатра
828,T90.4,A06.03.002,Компьютерная томография лицевого отдела черепа,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A06.03.002 Компьютерная томография лицевого отдела черепа
829,T90.4,A05.26.008,МРТ глазниц,Инструментальное обследование,"Действительно 180 календарных дней при первичном направлении, 1 год при повторном направлении",1,1,A05.26.008 МРТ глазниц
830,T90.4,B01.029.001,"Прием (осмотр, консультация) врача-офтальмолога первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.029.001 Прием (осмотр, консультация) врача-офтальмолога первичный"
831,T90.4,A02.26.015,Офтальмотонометрия,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A02.26.015 Офтальмотонометрия
